Location_Name,Register_Number,Endpoint_SN,Meter_ID,Meter_SN,Read_Time,Service_Point_Timezone,Read,Read_Unit,Read_Method,Encoder_Read,Flow_Time,Flow_Unit,Flow,Account_ID,Location_ID,Account_Full_Name,Billing_Address_Line1,Billing_Address_Line2,Billing_Address_Line3,Billing_City,Billing_State,Billing_ZIP,Location_Address_Line1,Location_City,Location_State,Location_ZIP,Service_Point_ID,Service_Point_Class_Code,Service_Point_Route,Service_Point_Cycle,Meter_Manufacturer,Meter_Model,Register_Resolution,Register_Unit_Of_Measure,Meter_Size,Meter_Size_Desc,Dials,Service_Point_Latitude,Service_Point_Longitude,Endpoint_Type,Connector Type,Endpoint Status,Battery Level,Signal Strength,Last Comm. Time,Last Gateway Id,Estimated Flag,Current Leak Start Date,Current Leak Rate Per Hour,Backflow (gal/30 days),Supply_Zone_ID,Demand_Zone_ID
North Plant AHU Condensate,,120976276,1074319,1074319,2023-07,US/Central,32667.99,KGAL,Network,3266799,2023-07,Gallons,624620,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2023-08,US/Central,33115.47,KGAL,Network,3311547,2023-08,Gallons,447480,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2023-09,US/Central,33457.84,KGAL,Network,3345784,2023-09,Gallons,342370,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2023-10,US/Central,33755.1,KGAL,Network,3375510,2023-10,Gallons,297260,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2023-11,US/Central,33854.29,KGAL,Network,3385429,2023-11,Gallons,99190,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2023-12,US/Central,33922.21,KGAL,Network,3392221,2023-12,Gallons,67920,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2024-01,US/Central,33968.05,KGAL,Network,3396805,2024-01,Gallons,45840,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2024-02,US/Central,34039.3,KGAL,Network,3403930,2024-02,Gallons,71250,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2024-03,US/Central,34101.92,KGAL,Network,3410192,2024-03,Gallons,60550,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
North Plant AHU Condensate,,120976276,1074319,1074319,2024-04,US/Central,34270.29,KGAL,Network,3427029,2024-04,Gallons,165090,98805,98805,North Plant AHU Condensate,,,,,,,6100 Main Street,Houston,TX,77005,98805-01,,Rice,,Onicon,F-4600,10,GAL,2,"2""",,29.720783,-95.400549,J,Unspecified,Active,good,good,2024-08,,0,2024-06,160,,,
