Old Name,Acct #,Meter #,Activity Code,Usage Date,Gallons,Current $
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,7/1/2023,0,$193.67 
Biology -Fire,4327-2435-1015,Fire5,FP1015,7/1/2023,0,$193.67 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,7/1/2023,0,$193.67 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,7/1/2023,0,$193.67 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,7/1/2023,0,$193.67 
Ryon Lab -Fire,4327-2434-7013,Fire4,FP7013,7/1/2023,0,$193.67 
Wiess College -Fire,4327-6955-7013,Fire1,CP7013,7/1/2023,0,$193.67 
Mechanical Engineering - Fire,4328-3919-9010,Fire8,CP3919,7/1/2023,0,$193.67 
FIRE9,9000-1589-2012,Fire9,FP2012,7/1/2023,0,$193.67 
FIRE10,9000-1589-3010,Fire10,FP3010,7/1/2023,0,$193.67 
FIRE11,9000-1589-4018,Fire11,FP4018,7/1/2023,0,$193.67 
FIRE12,9000-1589-5015,Fire12,FP5015,7/1/2023,0,$82.76 
FIRE13,9000-1589-6013,Fire13,FP6013,7/1/2023,0,$193.67 
FIRE14,9000-1702-4010,Fire14,FP4010,7/1/2023,0,$193.67 
FIRE15,9000-1702-5017,Fire15,FP2501,7/1/2023,0,$193.67 
FIRE16,9000-1702-6015,Fire16,FP2601,7/1/2023,0,$193.67 
FIRE17,9000-1702-7013,Fire17,FP2701,7/1/2023,0,$193.67 
Geo. R. Brown -Fire,9000-1602-0019,70246142,FP0019,7/1/2023,"1,200",$108.55 
Main Feed #1 Current chg,4328-6251-5017,18682076,CP7018,7/1/2023,"5,500,000","$94,512.30 "
Evap Credits $ only,4328-6251-5017,NP-EVAP,CP6253A,7/1/2023,0,"($67,827.38)"
Wiess College,4327-8232-9010,70078262,CP9010,7/1/2023,"4,060,000","$70,028.31 "
Wiess College Credit,4327-8232-9010,SP-EVAP,CP9010A,7/1/2023,0,"($39,167.48)"
Water Well,5010-0001-8017,911279,CP8017,7/1/2023,"4,619,000","$44,705.90 "
Alice Pratt Brown,9000-1599-9015,70111007,CP9015,7/1/2023,"58,000","$1,019.36 "
Anderson Clarke,9000-1602-1017,70278487,CP1017,7/1/2023,"369,000","$6,871.50 "
Annex Building,9000-1598-3019,10251022,CP3019,7/1/2023,"14,000",$287.19 
Baker Hall,4327-3330-2017,70247885,CP2017,7/1/2023,"10,000",$362.17 
BRC,4328-4330-1016,8528116,CP1016,7/1/2023,"295,250","$5,607.43 "
Cambridge Office Bldg,8510-0946-1019,70336306,CP1019,7/1/2023,"23,000","$1,030.64 "
Dell Butcher ,4327-3548-8012,70246143,CP8012,7/1/2023,"93,000","$2,033.93 "
Football Stadium,9000-1598-4017,70109904,CP4017,7/1/2023,"322,000","$6,065.92 "
Jones  School,4327-8726-4014,70075189,CP8726,7/1/2023,"130,000","$2,668.11 "
Library Service Ctr,4328-0629-1014,70120536,CP1014,7/1/2023,"5,000",$632.54 
Martel College,4327-8386-6010,70078261,CP6010,7/1/2023,"46,000","$1,228.35 "
O'Connor Building,8510-0028-9013,70413652,CP9013,7/1/2023,0,$601.50 
President's House,5603-3696-6430,64247,CP6430,7/1/2023,"5,000",$181.57 
Wellness Center,4328-4428-4013,70210599,CP4013,7/1/2023,"113,000","$2,124.54 "
Wellness Center - Pool,4328-4428-4013 L,210485419,CP4013,7/1/2023,"374,500","$4,634.16 "
A-North Lawn,4327-6506-4014,1019851,CP4014,7/1/2023,"1,000",$30.53 
Allen Center Lawn,4327-1267-1010,2259705,CP1010,7/1/2023,"42,000",$536.88 
Anderson Clarke Irrigation,9000-1602-7014,13176324,CP7014,7/1/2023,"324,000","$4,019.58 "
B-South Lawn,4327-6506-5011,208990,CP5011,7/1/2023,"536,000","$6,637.78 "
BRC Lawn,9000-1715-8016,6589556,CP5801,7/1/2023,"78,000",$978.78 
Brockman Hall for Opera Lawn,9000-1354-5018,19491625,CP5018,7/1/2023,"7,000",$104.63 
Cameron Field Lawn,4327-1267-0012,1019880,CP0012,7/1/2023,"158,000","$1,969.48 "
Geo R. Brown Lawn,4327-1267-2018,2259657,CP2018,7/1/2023,"19,000",$243.74 
Intramural Fld Lawn,4327-7743-8016,6561510,CP8016,7/1/2023,0,$18.18 
Lib Service Ctr Lawn,9000-1588-3011,3047766,CP3011,7/1/2023,"37,000",$475.13 
Lovett College Lawn,4328-4952-4017,10019874,CP0018,7/1/2023,"762,000","$9,428.88 "
North College Lawn ,4328-4699-6010,9064832,LN6010,7/1/2023,"134,000","$1,673.08 "
Pres. House. Lawn,4328-1122-2012,3046702,CP2012,7/1/2023,"213,000","$2,648.73 "
Soccer Field Lawn,4327-8841-2018,66973,CP8841,7/1/2023,"56,000",$709.78 
Wiess Lawn A,4327-8769-4012,13001508,CP4012,7/1/2023,"213,000","$2,648.73 "
Wiess Lawn X,9000-1716-0012,2008211,CP6001,7/1/2023,"31,000",$401.03 
Anderson Hall -Fire,4327-3155-7018,Fire6,FP7018,8/1/2023,0,$193.67 
Biology -Fire,4327-2435-1015,Fire5,FP1015,8/1/2023,0,$193.67 
Duncan Hall -Fire,4327-3187-4017,Fire7,FP4017,8/1/2023,0,$193.67 
Hicks Kitchen -Fire,4327-2434-6015,Fire3,FP6015,8/1/2023,0,$193.67 
Keck Hall -Fire,4327-2434-5017,Fire2,FP5017,8/1/2023,0,$193.67 
